insee;code;city
11220;11800;MARSEILLETTE
11223;11570;MAS DES COURS
11224;11330;MASSAC
11241;11700;MONTBRUN DES CORBIERES
11249;11230;MONTJARDIN
11253;11170;MONTOLIEU
11254;11290;MONTREAL
11258;11120;MOUSSAN
11259;11170;MOUSSOULENS
11264;11200;NEVIAN
11268;11270;ORSANS
11270;11350;PADERN
11271;11330;PALAIRAC
11272;11570;PALAJA
11273;11200;PARAZA
11276;11350;PAZIOLS
11288;11170;PEZENS
11297;11380;PRADELLES CABARDES
11298;11220;PRADELLES EN VAL
11300;11400;PUGINIER
11310;11190;RENNES LES BAINS
11336;11230;STE COLOMBE SUR L HERS
11337;11700;ST COUAT D AUDE
11354;11220;ST MARTIN DES PUITS
11355;11300;ST MARTIN DE VILLEREGLAN
11356;11400;ST MARTIN LALANDE
11365;11420;ST SERNIN
11373;11140;SALVEZINES
11375;11240;SEIGNALENS
11380;11230;SONNAC SUR L HERS
11384;11330;SOULATGE
11391;11380;LA TOURETTE CABARDES
11394;11300;TOURREILLES
11401;11350;TUCHAN
11409;11330;VIGNEVIEILLE
11414;11220;VILLAR EN VAL
11425;11600;VILLEGAILHENC
11426;11600;VILLEGLY
11429;11620;VILLEMOUSTAUSSOU
11433;11160;VILLENEUVE MINERVOIS
11437;11170;VILLESEQUELANDE
12007;12260;AMBEYRAC
12011;12120;ARVIEU
12013;12110;AUBIN
12013;12110;AUBIN
12020;12510;BALSAC
12021;12200;LE BAS SEGALA
12028;12300;BOISSE PENCHOT
12030;12300;BOUILLAC
12033;12340;BOZOULS
12034;12350;BRANDONNET
12035;12550;BRASC
12044;12360;CAMARES
12048;12460;CAMPOURIEZ
12053;12260;LA CAPELLE BALAGUIER
12063;12230;LA CAVALERIE
12064;12500;LE CAYROL
12065;12120;CENTRES
12067;12540;LE CLAPIER
12068;12240;COLOMBIES
12073;12120;COMPS LA GRAND VILLE
12074;12470;CONDOM D AUBRAC
12075;12170;CONNAC
12076;12320;CONQUES EN ROUERGUE
